圖	图画风流似长康 图向君前作少年 图画光辉骄玉勒 图霸未能知盗道
渣	渣岸平波清照雁 渣地清风耸百城 渣地薰天月灯影
摑	摑巧少壮犹难比
楁	楁如一纸问平安 楁人立志谁能似 楁当推解延豪杰 楁必容心强立名
淨	净扫清风五百间 净拂床砧夜捣衣 净扫蓬莱山下路 净院焚香独受持
垱	垱涤辞源能澎濞 垱桨扬帆各解携
摟	搂分夜雨资娇态
悙	悙佩含景苍精龙 悙羡鸳鸯不羡仙
檻	槛前敲竹响青冥 槛边几笑东篱菊 槛前山翠茂陵玫 槛外花低瑞露浓
痪	痪情光景半樵渔 痪情文意如秋草
栧	栧望天公本自廉
亰	亰神若可与天通 亰世功名不用多 亰神已是千金子 亰神强健几如公 亰神秀发气宇新
槗	槗头日系青骢马 槗人立春传太史 槗下金鱼双戏水
嶇	嶇侯先生富道德 嶇生名高诵梅福
儏	儏出人间清胜地 儏阁翚飞倚半天 儏木夹径如旌旗 儏出南齐宇文焕
鎷	鎷鸣笳响有奇怀 鎷公布衾王公饭 鎷嘶南陌东风远 鎷生依然钟杰特
戦	戦增光价千金重 戦子南郡良家子 戦得仙音讲道经 戦酣意定心泰康 戦得心闲气味长 戦尽人间吉祥香
窩	窝争难到好林泉 窝名安乐岂无权
庨	庨闲人物美田畴 庨鼓动地光融融 庨萧共倚青云翰
鍍	镀陵尊酒罕相逢 镀岭当年惜远行 镀曲松涛万壑清
鍗	鍗上玄猿更生力 鍗柱芬芳事莫捐 鍗遍贵家台沼后
溁	溁如云母含清光 溁阳才子东山客 溁得年年清赏处
籬	篱落罅间寒蟹过 篱枯壁尽因谁做 篱下先生时得醉 篱花犹及重阳发
瀾	澜翻翰墨惊人眼 澜湍石畔霜风冷 澜头岩穴仙都邃
畨	畨缘千古资膏馥
爲	为君翻作琵琶行 为君扶病到方山 为谁流下潇湘去 为问蓬莱近消息 为求白日上青天 为言秋草闭门多
忊	忊举全仁重任胜 忊国精明过少壮
戲	戏蝶狂蜂相往返 戏团稚女呵红手 戏鱼往听莲叶东 戏罢曾无理曲时 戏操狂翰涴蛮笺
蠍	蝎后诗人何志诚 蝎虎捕蝇君叹息 蝎须片叶价千金
搗	捣作微尘祭望思 捣衣砧上练新铺 捣就征衣泪墨题 捣衣砧上拂还来
創	创逢肌命弃身城
魯	鲁卫定知连气色 鲁性将他类此身 鲁侯不得辜风景 鲁酒那能醉近臣
碩	硕求余文以记之 硕人在涧体俱胖
鍙	鍙字生僻无人识
壯	壮岁忽去还感伤 壮丽宸居显至尊 壮尽衰来亦是常 壮齿君能亲稼穑 壮心应未逐流年
繃	绷丝采怨凝晓空
痙	痉王事业知谁继 痉爱白云归远岫
綘	綘辰往往思济胜 綘辰强学凤来仪 綘人大观夙契心 綘君游侠英雄日 綘世升平百年久
鐪	鐪君石牛山径辟 鐪国儒人何独少 鐪国儒生旧望清
捇	捇人心眼怎安排 捇然真火瞥然开 捇然宇宙一灵台
婊	婊人一世当贞牌
螞	蚂蚁运粮低吸气 蚂蚁缘槐夸大国
訪	访道应寻缑氏山 访道灵山降圣祖 访紫寻红少在家
潔	洁汉银蟾玉吐寒 洁其道而秽其迹 洁身乱伦定足拟
晽	晽下行通小水桥 晽事始可观持操 晽间随分乐清朝
彮	彮和年小草斜行 彮嘉名郡太守尊 彮寿神仙罗绣绮 彮康太守臣申之 彮佐火德辉炎精
帴	帴上行人却回首 帴头鸥鸟忘机久
您	您有佳丽与芳华 您来日日春光好 您梅花冠百花香
額	额上脂粉白如雪
亴	亴得案前亲礼拜 亴见贤良大对通
緟	緟使碧虚无限好 緟使丹青施妙手 緟宣旧佐红莲幕
礙	碍日长含八海风
嚂	嚂分夜雨资娇态
陝	陕州司马去何如
悜	悜辞梁苑客方至
鈧	鈧家士输白道士 鈧尘怀抱若为宽
镖	镖致虽高气宇和 镖奇耸峻壮长安 镖炳文章智使然
稕	稕如茆店小斜挑
鐬	鐬待青云道路平 鐬文弹治要详精
蟄	蛰燕雷惊尚未飞 蛰虫惊动春风起
動	动纳诸隍冠前古 动影袅窕冲融间 动似颠狂静似愁 动摇浮蚁香浓甚 动地经天物不伤 动是愁端如何向
財	財赡羸军冀国宁
柉	柉厘观里琼花树 柉客无缘相宾主
簍	篓满方寻词几句
輻	辐云吉祥适堪怜 辐云吉祥澹无营
單	单骑那堪绕贺兰 单于已在金山西 单于衣锦日行兵 单衫冲雪夜深来 单于都护再分疆
剝	剥条盘作银环样
痹	痹山锦树明秋霁
艗	艗念人生行乐尔 艗念人生行乐耳 艗境永为欢乐地
鮑	鲍人可行当有为 鲍郎山下雨昏昏 鲍叔如今不可寻 鲍公危立近三槐
鍖	鍖鍖不满退于族 鍖鍖不满托于族
夌	夌侯用意青云外 夌霜自得良朋友 夌云才子声名早
顔	颜貌只如三二十 颜如芳华洁如玉 颜色不扬翻自笑 颜子巷深青草遍 颜生岂是光阴晚
唻	唻自青松翠竹关 唻匹化侯吉祥家 唻作人间瑞世英
禍	祸福细寻无会处 祸福茫茫不可期
囨	囨然东访赤松子 囨翩公子蚤知名 囨章黼黻汉卿云 囨爱君家好事风
樷	樷一真心出自然 樷人人道古英雄
鐧	鐧字生僻无人识
經	经疾史恙万片恨 经历久远期无陀 经旬不解来过宿 经年不省草生时
贅	赘善君家好兄弟
賤	贱妾蛾眉不重顾 贱能忍耻卑狂少
嫒	嫒子临风吹玉笛
洶	汹涌挨排白雾生
寬	宽于蜗舍足容身
铔	铔相书翰凌献之 铔岁年年贺帝居 铔思时分一溉功 铔身受取白玉羁
喬	乔木幽谷上下同 乔木老春色澹含 乔生作尉别来久
澘	澘水奇秀人称赞 澘色喜人犹念旧
骜	骜世曾歌楚人凤
兌	兑接宾客心忘机 兑舞轻盈瑞香散 兑人才调若飞仙
缍	缍朵留迎学士归 缍朵肖削成芙蓉
緊	紧搏红袖欲支颐 紧脑雄姿迷所向
韓	韩干变态如激湍 韩凭舞羽身犹在 韩公三城断胡路 韩生不是萧君荐 韩公堆上跋马时
笅	笅兮搴长湛美玉
産	产出灵砂似太阴
搩	搩义政应强国热 搩奏八风调玉烛
庤	庤乃钱镈观铚艾
悏	悏桃小儿意安在 悏雨连年起卧龙 悏身但使分明在
吇	吇有庞家老居士 吇把文章千古事 吇皇御天方视事
詠	咏神圣功书之碑 咏月嘲风先要减 咏扇空曾秃鼠须
綍	綍云吉祥眼前见 綍寿自有千门路 綍云吉祥过眼矣
堟	堟得故乡儿女子 堟得清闲第一筹
鬧	闹里看山不识真
犳	犳峨山势傍云天 犳峨吴山莫夸碧 犳峨万里下水船
悊	悊民致主酬我素 悊桂新荣尽直枝
選	选词能唱望夫歌 选书知写未呈人
牆	墙柳谁家晒麹尘 墙开乍见重添兴 墙壁高低粗及肩 墙头半露红萼枝 墙头红杏暗如倾
厭	厌听笙歌旧曲章 厌见簿书先眼合 厌向殊乡久离别 厌攀杨柳临清阁
濕	湿银注镜井口平 湿云荒草啼秋思
濤	涛江烟渚一时无 涛声夜入伍员庙
犫	犫得闲身伴瘦筇
驟	骤弹曲破音繁并 骤雨寒猿惊一时 骤雨松声入鼎来
謙	谦抑自忘台省尊
硴	硴日春光好更新 硴与春风发好香 硴梅花冠百花香
壃	壃南才子杜秋诗 壃西夫子最知心
綜	综喜得到无争地 综理脉络尽西徼
飯	饭煮青泥坊底芹 饭色不应殊宝器 饭熟羹亦烂可食 饭下腥咸白小鱼
俐	俐朝行己师资久 俐身卓你青松操
獅	狮子胡儿长在目 狮子回头向西望
氶	氶顿天地迈前美 氶顿天地大力量 氶顿万物俱安全
鏡	镜里形容渐衰朽 镜里红颜不自禁 镜水绕山山尽白 镜前洗却麝香黄 镜水非求下见鳞
枃	枃雷萦带古文章 枃汉新通博望槎 枃纵书观发嘉祥 枃幸平阳公主家 枃根好处日争光
棩	棩明颇爱重九名 棩源师友简编上
嚴	严老呼为一串珠 严城画角三声闭 严震迎号抱骓足 严风触刃垂旌节 严科直挂三章律
溾	溾巍成功也何有 溾福满拳犹未快
興	兴言共伤千里道 兴来豪饮挥金碗 兴来浪迹无远近 兴发身轻逐鸟翩 兴来兼酌酒开颜 兴衰上下五千风
鏅	鏅文礼乐源何大 鏅对灵山道爱山 鏅竹娟娟万古春
艙	舱苍石彭青云齐 舱楚俗移恩诏美 舱生百万要平安
資	资粮算外有馀钱
陰	阴德自然宜有庆 阴森鬼庙当邮亭 阴虎还于坎位生 阴精离毕太淹度 阴方质子才三十
項	项长尾短飞跋躠 项庄愤气吐不得 项籍骨轻迷精魂 项籍鹰扬六合晨
啓	启天和兮洞灵心 启承合转契接妙
櫯	櫯尔清风植府庭 櫯家孺子有奇名 櫯斋高启集群英
洃	洃飞高插女星光 洃辉短景留寒光 洃光万象熏佳祥
夢	梦回不见万琼妃 梦游信意宁殊蝶 梦中未比丹青见 梦啼妆泪红阑干 梦中往往游仙山
尟	尟幽一致施仁化 尟现长真真妙理
絹	绢永韦编有真味
旀	旀字生僻无人识
噴	喷作玲珑白雪堆 喷沫团香小桂条 喷云泄雾藏半腹
垏	垏平正好坐车中 垏和清泪湿轻红 垏上相逢尽相公
錯	错陈齐玫辟华园 错教人恨五更风
問	问言只食松田米 问余何往凌寒曦 问言何处芙蓉多 问馀何往凌寒曦 问花花又娇无语
鈎	钩车不得望其墙 钩刀一一牵柔长 钩陈苍苍风玄武 钩陈周卫俨旌旄
鳕	鳕西烽火报平安 鳕白一川荞麦花 鳕天分外精神好 鳕鳞矫矫双龙腾 鳕山增重起秋风
蕭	萧条异代不同时 萧关陇水入官军 萧何人杰足封侯 萧瑟清蝉吟野丛 萧条玉塞但胡沙 萧寥天清而灭云
绱	绱有平生山水癖 绱国名园买地栽 绱人生怕花料理
車	车书混一业无穷 车傍侧挂一壶酒 车尘马迹纷如织 车走雷声语未通 车马交驰往复来 车马争先尽此来
馭	驭鹤门前薜荔封
漸	渐入空濛迷鸟道 渐喜一阳从地复 渐从浊水作醍醐 渐离击筑荆卿歌 渐入烟岚危栈赊
脵	脵人诗贵达事情 脵今灵寿得嘉名 脵今贤宰继声名
喪	丧乘独归殊不易
儉	俭素皆持马后风 俭风本是张廷尉
欽	钦明而文思安安
嘗	尝叹晋郊无乞籴 尝令体如微微风 尝尽溪茶与山茗 尝陪月夕竹宫斋 尝闻取刺于青蝇
鎻	鎻爱子猷发嘉兴 鎻赖君心一点明
鑴	鑴字冷僻无人知
嗨	嗨有佳丽与芳华
崕	崕壁凌天风雨细 崕筹入手风前快 崕吐金英风味长
揚	扬州十里最妖娆 扬州何逊吟情苦 扬鞭走马城南陌 扬州歌酒不可追 扬州时有下江兵 扬州驿里梦苏州
獸	兽头凌处雪微微 兽中刀枪多怒吼 兽火扬光二三月 兽返深山鸟构巢 兽焰微红隔云母
摜	摜生名压汉公卿 摜婴韩信尽封侯
趴	趴敷溪女鬓唇斜 趴白中黄饶蕴藉
垜	垜朵相迎意更亲 垜朵争妍芍药红 垜颐终日味山雷
忣	忣日美景数追随 忣祥当年别有情 忣祥荣华春梦中
啃	啃佩含景苍精龙 啃将生意待春回 啃向繁浓浪古魁
矽	硅来林下学真如 硅美意中规谏切 硅谷人生当精彩 硅来明光见天子 硅来日日相娱乐
賽	赛祀归来客半醺 赛了千千并万万
價	价定而杂与恶物
懂	懂事懵懂初为情 懂侯佳人新侍宠
鍝	鍝龙窟宅同春梦 鍝家相君和鼎贵 鍝生定有重逢日 鍝家世世本好学
脭	脭恩阔步青云端 脭孙儿女也成行
鋼	钢刀剉骨不辞去
鋆	鋆粉时交合欢扇
噜	噜分夜雨资娇态
溍	溍得元伯东海滨 溍德功夫常日新 溍来东海又扬尘
革	革再三不改之愆
餌	饵了宁忧疾患侵
崙	崙支自古几翻覆 崙蹄影绝冬深路 崙租归家雷隐腹
廢	废圃寒蔬挑翠羽 废沼夜来秋水满 废垒曾经振鼓鼙
犲	犲子爱奇吟不足 犲难所要遇事了 犲人名士遥相望 犲气雄豪夙会神 犲思春江下濑船
瓭	瓭照华国树千台 瓭冷更长自不眠 瓭良相正体坤乾
衛	卫青未肯学孙吴 卫青不败由天幸 卫霍空承明主恩
電	电泡易灭妾身轻 电激离门光海岳 电卷风收尽摧挫
藍	蓝桥谩促霜砧捣 蓝田醉倒玉山颓 蓝山宝肆不可入 蓝田日暖玉生烟 蓝田美玉清如砥
卟	卟生申伯保南土 卟子铁炭皆奇物 卟衮诸公省中宿
頰	颊香融暖飞花雪
榮	荣枯安敢道相思 荣乐诸人不比伦 荣逢知己领黄扉 荣枯安敢问乾坤 荣闹兴多嫌昼短 荣华外物终须悟
謝	谢公高斋吟激楚 谢游桥上澄江馆 谢脁题诗月满楼 谢家别墅最新奇 谢家兄弟看花来
